bot_id,conversation_id,fast_response_time,llm_response_time,server_response_time
519,40597,95,1785,2853
519,40597,68,3337,4308
519,40597,45,1469,2477
519,40597,61,1778,2730
519,40597,59,1541,2500
519,40597,49,1964,3046
519,40597,30,1492,2415
519,40597,35,1796,2879
519,40596,94,1352,2389
519,40596,63,4642,5607
519,40596,65,1888,2818
519,40596,86,1665,2606
519,40596,35,1335,2278
519,40596,63,1292,2359
519,40596,36,2065,2994
519,40596,57,1398,2328
519,40596,60,1924,2846
519,40596,58,1623,2601
519,40596,75,1253,2234
519,40596,61,1832,2750
519,40596,38,1413,2353
519,40596,62,2457,3379
519,40596,47,1494,2556
519,40596,51,1377,2276
519,40596,43,1798,2776
519,40596,53,2430,3348
519,40596,46,1702,2633
519,40596,38,2322,3223
519,40596,61,2144,3071
552,40595,150,3406,4335
552,40595,48,3727,4677
552,40595,106,3646,4548
552,40595,35,3693,4582
552,40595,38,3644,4639
552,40595,59,3998,5023
552,40595,69,3672,4705
552,40595,50,4240,5396
552,40595,66,1997,3113
552,40592,127,2143,3037
552,40592,37,2493,3363
552,40592,31,3559,4481
552,40592,32,2341,3402
552,40592,55,4011,5180
552,40592,59,3774,4773
552,40592,57,3899,4912
552,40592,97,4001,5207
552,40592,97,1469,2526
482,40591,89,1199,2106
482,40591,44,1187,2166
482,40591,106,1319,2223
482,40591,56,1160,2134
482,40591,66,1528,2438
482,40591,42,1352,2354
482,40591,78,1354,2437
482,40591,110,1647,2690
482,40591,84,1794,2750
482,40591,40,1704,2847
482,40591,110,1430,2336
559,40590,110,1743,2856
559,40590,68,1932,3075
482,40587,93,1461,2591
482,40587,63,2597,3696
482,40587,101,1464,2391
482,40587,59,1505,2540
482,40587,95,2424,3428
482,40587,107,1252,2240
482,40587,86,2185,3665
482,40587,86,2139,3195
482,40587,44,6519,7651
482,40587,137,1349,2337
552,40584,149,1289,2349
552,40584,57,3564,4477
552,40584,50,2429,3350
552,40584,48,3836,4765
552,40584,56,2382,3402
552,40584,85,4340,5324
552,40584,69,3957,4988
552,40584,61,3890,5097
552,40584,84,2802,3893
482,40582,105,1273,2227
482,40582,43,1359,2257
482,40582,88,1319,2308
482,40582,55,2117,3126
482,40582,64,1256,2162
482,40582,45,6415,7386
482,40582,97,2296,3328
482,40582,64,1395,2323
482,40582,86,1706,2771
482,40582,95,1676,2695
482,40582,66,1476,2707
482,40582,130,1306,2250
482,40581,110,1395,2341
482,40581,48,1099,2111
559,40580,111,1625,2690
559,40580,67,1644,2677
559,40580,78,1658,2721
559,40580,67,1582,2659
559,40580,51,2130,3061
559,40580,59,1736,2666
559,40577,127,2357,3513
559,40577,92,1809,2922
552,40576,129,1559,2421
552,40576,55,2542,3412
552,40576,54,2571,3525
552,40576,38,2618,3602
552,40576,66,3693,4699
552,40576,66,4704,5685
552,40576,54,4410,5525
552,40576,70,2203,3246
559,40575,119,1606,2749
559,40575,73,1656,2658
559,40575,54,1652,2682
559,40575,84,1677,2837
559,40575,69,1720,3057
559,40575,71,1659,2663
559,40575,52,2116,3076
482,40574,91,1257,2198
482,40574,42,1243,2229
482,40574,106,1284,2191
482,40574,39,1454,2454
482,40574,83,1232,2171
482,40574,45,1593,2601
482,40574,103,1945,2905
482,40574,67,1800,2863
482,40574,85,1257,2268
482,40574,49,1517,2622
482,40574,119,1137,2027
559,40571,115,1862,2945
482,40570,92,1123,2043
482,40570,55,1581,2500
552,40568,163,4026,5021
482,40567,99,1302,2411
482,40567,97,1279,2307
482,40567,104,1174,2183
482,40567,67,1988,3092
482,40567,83,1305,2278
482,40567,73,1923,3005
482,40567,96,1410,2442
482,40567,88,1425,2558
482,40567,86,1363,2408
482,40567,55,1336,2552
482,40567,122,1210,2129
482,40566,93,2206,3275
482,40566,69,1501,2463
482,40565,91,1460,2496
482,40564,102,1347,2394
559,40560,153,1766,2869
559,40560,86,1975,3130
559,40560,84,2650,3884
559,40560,93,1797,3184
559,40560,68,1781,2786
559,40560,66,1865,3042
482,40533,91,1172,2485
482,40533,50,1327,2265
482,40533,52,1178,2152
482,40533,41,1112,2087
482,40533,81,1336,2284
482,40533,63,1271,2278
482,40533,105,1165,2199
482,40533,62,1312,2510
482,40533,88,1348,2409
482,40533,84,1189,2156
482,40533,48,1350,2508
482,40533,150,2446,3379
482,40531,94,1131,2183
482,40531,49,1241,2147
482,40525,95,1654,2579
482,40525,39,1226,2129
482,40525,38,1430,2372
482,40525,43,1200,2254
482,40517,88,1146,2126
482,40517,60,1377,2341
482,40517,104,1191,2228
482,40517,43,1126,2100
482,40517,91,1251,2259
482,40517,97,1476,2473
482,40517,122,1354,2408
482,40517,88,1436,2408
482,40517,64,1390,2560
482,40517,119,1082,1943
552,40510,131,2517,3633
552,40510,61,3228,4341
482,40504,76,1124,2153
482,40504,60,1182,2169
482,40504,44,1183,2107
482,40504,54,3119,4228
